# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cpu-cycles'
# Event count (approx.): 1777120
#
# Overhead  Command  Source Shared Object  Source Symbol                                                Target Symbol                                                Basic Block Cycles
# ........  .......  ....................  ...........................................................  ...........................................................  ..................
#
     0.07%  wrk      [kernel.kallsyms]     [.] swapgs_restore_regs_and_return_to_usermode               [.] swapgs_restore_regs_and_return_to_usermode               -                 
     0.07%  wrk      wrk                   [.] socket_writeable                                         [.] socket_writeable                                         -                 
     0.07%  wrk      [kernel.kallsyms]     [.] irq_exit                                                 [.] irq_exit                                                 -                 
     0.07%  wrk      [kernel.kallsyms]     [.] do_syscall_64                                            [.] fpregs_assert_state_consistent                           -                 
     0.06%  wrk      libc-2.31.so          [.] __vfscanf_internal                                       [.] __vfscanf_internal                                       -                 
     0.06%  wrk      [kernel.kallsyms]     [k] vxlan_xmit                                               [k] vxlan_xmit                                               -                 
     0.06%  wrk      [kernel.kallsyms]     [k] __ip_finish_output                                       [k] __ip_finish_output                                       -                 
     0.06%  wrk      [kernel.kallsyms]     [k] ip_vs_nat_xmit                                           [k] ip_vs_nat_xmit                                           -                 
     0.06%  wrk      [kernel.kallsyms]     [k] bnx2_start_xmit                                          [k] bnx2_start_xmit                                          -                 
     0.06%  wrk      [kernel.kallsyms]     [k] copy_user_generic_string                                 [k] copy_user_generic_string                                 -                 
     0.06%  wrk      wrk                   [.] lj_tab_get                                               [.] lj_tab_get                                               -                 
     0.06%  wrk      [kernel.kallsyms]     [k] netdev_core_pick_tx                                      [k] netdev_core_pick_tx                                      -                 
     0.06%  wrk      [kernel.kallsyms]     [k] ep_poll                                                  [k] ep_poll                                                  -                 
     0.06%  wrk      libc-2.31.so          [.] default_tzdir.7509+0x14                                  [.] __tzfile_read                                            -                 
     0.06%  wrk      [kernel.kallsyms]     [k] kmem_cache_alloc_node                                    [k] kmem_cache_alloc_node                                    -                 
     0.05%  wrk      [kernel.kallsyms]     [k] __check_object_size                                      [k] __check_object_size                                      -                 
     0.05%  wrk      [kernel.kallsyms]     [k] process_backlog                                          [k] process_backlog                                          -                 
     0.05%  wrk      [kernel.kallsyms]     [k] xfrm_lookup_with_ifid                                    [k] xfrm_lookup_with_ifid                                    -                 
     0.05%  wrk      libc-2.31.so          [.] __strncat_ssse3                                          [.] strxfrm_l                                                -                 
     0.05%  wrk      [kernel.kallsyms]     [k] netif_skb_features                                       [k] netif_skb_features                                       -                 
     0.05%  wrk      wrk                   [.] gc_traverse_trace.part.0                                 [.] gc_traverse_trace.part.0                                 -                 
     0.05%  wrk      [kernel.kallsyms]     [k] kmem_cache_free                                          [k] kmem_cache_free                                          -                 
     0.05%  wrk      wrk                   [.] resizetab                                                [.] resizetab                                                -                 
     0.05%  wrk      [kernel.kallsyms]     [.] irq_exit                                                 [.] rcu_irq_exit                                             -                 
     0.05%  wrk      [kernel.kallsyms]     [.] rcu_irq_exit                                             [.] irq_exit                                                 -                 
     0.05%  wrk      [kernel.kallsyms]     [k] sch_direct_xmit                                          [k] sch_direct_xmit                                          -                 
     0.05%  wrk      [kernel.kallsyms]     [k] entry_SYSCALL_64_after_hwframe                           [k] do_syscall_64                                            -                 
     0.05%  wrk      libc-2.31.so          [.] strxfrm_l                                                [.] __strncat_ssse3                                          -                 
     0.05%  wrk      [kernel.kallsyms]     [k] entry_SYSCALL_64_after_hwframe                           [k] entry_SYSCALL_64_after_hwframe                           -                 
     0.05%  wrk      [kernel.kallsyms]     [k] get_l4proto                                              [k] get_l4proto                                              -                 
     0.05%  wrk      wrk                   [.] index2adr                                                [.] index2adr                                                -                 
     0.05%  wrk      [kernel.kallsyms]     [k] dev_hard_start_xmit                                      [k] __x86_indirect_thunk_rax                                 -                 
     0.05%  wrk      [kernel.kallsyms]     [k] rcu_all_qs                                               [k] _cond_resched                                            -                 
     0.05%  wrk      [kernel.kallsyms]     [k] fput_many                                                [k] fput                                                     -                 
     0.04%  wrk      [kernel.kallsyms]     [k] ep_scan_ready_list.constprop.0                           [k] ep_scan_ready_list.constprop.0                           -                 
     0.04%  wrk      [kernel.kallsyms]     [k] br_nf_post_routing                                       [k] br_nf_post_routing                                       -                 
     0.04%  wrk      [kernel.kallsyms]     [k] do_syscall_64                                            [k] __x86_indirect_thunk_rax                                 -                 
     0.04%  wrk      [kernel.kallsyms]     [k] __fget_light                                             [k] __fget_light                                             -                 
     0.04%  wrk      libc-2.31.so          [.] _int_memalign                                            [.] _int_memalign                                            -                 
     0.04%  wrk      [kernel.kallsyms]     [k] br_handle_frame                                          [k] br_handle_frame                                          -                 
     0.04%  wrk      [kernel.kallsyms]     [k] rcu_all_qs                                               [k] rcu_all_qs                                               -                 
     0.04%  wrk      libc-2.31.so          [.] __libc_realloc                                           [.] __libc_realloc                                           -                 
     0.04%  wrk      wrk                   [.] lj_BC_CALLT                                              [.] lj_BC_CALLT                                              -                 
     0.04%  wrk      [kernel.kallsyms]     [k] update_load_avg                                          [k] update_load_avg                                          -                 
     0.04%  wrk      [kernel.kallsyms]     [k] nf_nat_inet_fn                                           [k] nf_nat_inet_fn                                           -                 
     0.04%  wrk      [kernel.kallsyms]     [k] _cond_resched                                            [k] rcu_all_qs                                               -                 
     0.04%  wrk      [kernel.kallsyms]     [k] __x86_indirect_thunk_rax                                 [k] read_tsc                                                 -                 
     0.04%  wrk      [kernel.kallsyms]     [k] fput_many                                                [k] fput_many                                                -                 
     0.04%  wrk      [kernel.kallsyms]     [k] br_forward                                               [k] br_forward                                               -                 
