# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cpu-cycles'
# Event count (approx.): 1777120
#
# Overhead  Command  Source Shared Object  Source Symbol                                                Target Symbol                                                Basic Block Cycles
# ........  .......  ....................  ...........................................................  ...........................................................  ..................
#
     0.00%  wrk      [kernel.kallsyms]     [k] rebalance_domains                                        [k] __msecs_to_jiffies                                       -                 
     0.00%  wrk      [kernel.kallsyms]     [k] handle_irq_event_percpu                                  [k] note_interrupt                                           -                 
     0.00%  wrk      [kernel.kallsyms]     [k] enqueue_timer                                            [k] enqueue_timer                                            -                 
     0.00%  wrk      [kernel.kallsyms]     [k] hrtimer_active                                           [k] task_tick_fair                                           -                 
     0.00%  wrk      [kernel.kallsyms]     [k] hrtimer_update_next_event                                [k] hrtimer_force_reprogram                                  -                 
     0.00%  wrk      [kernel.kallsyms]     [k] __zone_watermark_ok                                      [k] __zone_watermark_ok                                      -                 
     0.00%  wrk      [kernel.kallsyms]     [k] __alloc_pages_nodemask                                   [k] __alloc_pages_nodemask                                   -                 
     0.00%  wrk      [kernel.kallsyms]     [k] kernel_poison_pages                                      [k] prep_new_page                                            -                 
     0.00%  wrk      [kernel.kallsyms]     [k] kernel_poison_pages                                      [k] kernel_poison_pages                                      -                 
     0.00%  wrk      [kernel.kallsyms]     [k] ip_forward                                               [k] ip_forward                                               -                 
     0.00%  wrk      [kernel.kallsyms]     [k] tcp_send_ack                                             [k] tcp_cleanup_rbuf                                         -                 
     0.00%  wrk      [kernel.kallsyms]     [k] __udp4_lib_rcv                                           [k] __udp4_lib_rcv                                           -                 
     0.00%  wrk      [kernel.kallsyms]     [k] cpumask_next                                             [k] find_next_bit                                            -                 
     0.00%  wrk      [kernel.kallsyms]     [k] __x86_indirect_thunk_rax                                 [k] hrtimer_interrupt                                        -                 
     0.00%  wrk      [kernel.kallsyms]     [k] __x86_indirect_thunk_rax                                 [k] tick_sched_timer                                         -                 
     0.00%  wrk      [kernel.kallsyms]     [k] bnx2_msi_1shot                                           [k] __napi_schedule                                          -                 
     0.00%  wrk      [kernel.kallsyms]     [k] bnx2_poll_msix                                           [k] bnx2_poll_work                                           -                 
     0.00%  wrk      wrk                   [.] counts_index                                             [.] counts_index                                             -                 
     0.00%  wrk      wrk                   [.] lj_record_ins                                            [.] lj_record_ins                                            -                 
     0.00%  wrk      libc-2.31.so          [.] btowc                                                    [.] script_request                                           -                 
     0.00%  wrk      libc-2.31.so          [.] __opendirat                                              [.] luaL_addvalue                                            -                 
     0.00%  wrk      libc-2.31.so          [.] __alloc_dir                                              [.] lj_str_resize                                            -                 
     0.00%  wrk      [kernel.kallsyms]     [k] __intel_pmu_enable_all.constprop.0                       [k] intel_pmu_handle_irq                                     -                 
     0.00%  wrk      [kernel.kallsyms]     [k] intel_pmu_handle_irq                                     [k] perf_event_nmi_handler                                   -                 
     0.00%  wrk      [kernel.kallsyms]     [k] native_apic_mem_write                                    [k] smp_apic_timer_interrupt                                 -                 
     0.00%  wrk      [kernel.kallsyms]     [k] raise_softirq                                            [k] trigger_load_balance                                     -                 
     0.00%  wrk      [kernel.kallsyms]     [k] update_rq_clock                                          [k] update_blocked_averages                                  -                 
     0.00%  wrk      [kernel.kallsyms]     [k] account_process_tick                                     [k] account_process_tick                                     -                 
     0.00%  wrk      [kernel.kallsyms]     [k] task_tick_fair                                           [k] hrtimer_active                                           -                 
     0.00%  wrk      [kernel.kallsyms]     [k] update_blocked_averages                                  [k] update_dl_rq_load_avg                                    -                 
     0.00%  wrk      [kernel.kallsyms]     [k] trigger_load_balance                                     [k] raise_softirq                                            -                 
     0.00%  wrk      [kernel.kallsyms]     [k] __handle_irq_event_percpu                                [k] __handle_irq_event_percpu                                -                 
     0.00%  wrk      [kernel.kallsyms]     [k] __handle_irq_event_percpu                                [k] handle_irq_event_percpu                                  -                 
     0.00%  wrk      [kernel.kallsyms]     [k] handle_irq_event_percpu                                  [k] add_interrupt_randomness                                 -                 
     0.00%  wrk      [kernel.kallsyms]     [k] rcu_sched_clock_irq                                      [k] rcu_sched_clock_irq                                      -                 
     0.00%  wrk      [kernel.kallsyms]     [k] run_timer_softirq                                        [k] __run_timers.part.0                                      -                 
     0.00%  wrk      [kernel.kallsyms]     [k] hrtimer_interrupt                                        [k] __hrtimer_run_queues                                     -                 
     0.00%  wrk      [kernel.kallsyms]     [k] hrtimer_interrupt                                        [k] ktime_get_update_offsets_now                             -                 
     0.00%  wrk      [kernel.kallsyms]     [k] timekeeping_update                                       [k] timekeeping_update                                       -                 
     0.00%  wrk      [kernel.kallsyms]     [k] ktime_get_update_offsets_now                             [k] hrtimer_interrupt                                        -                 
     0.00%  wrk      [kernel.kallsyms]     [k] ktime_get_update_offsets_now                             [k] __x86_indirect_thunk_rax                                 -                 
     0.00%  wrk      [kernel.kallsyms]     [k] find_vma                                                 [k] find_vma                                                 -                 
     0.00%  wrk      [kernel.kallsyms]     [k] ghes_copy_tofrom_phys                                    [k] ghes_copy_tofrom_phys                                    -                 
     0.00%  wrk      [kernel.kallsyms]     [k] fast_mix                                                 [k] add_interrupt_randomness                                 -                 
     0.00%  wrk      [kernel.kallsyms]     [k] __napi_schedule                                          [k] __raise_softirq_irqoff                                   -                 
     0.00%  wrk      [kernel.kallsyms]     [k] napi_complete_done                                       [k] bnx2_poll_msix                                           -                 
     0.00%  wrk      [kernel.kallsyms]     [k] dst_release                                              [k] skb_release_head_state                                   -                 
     0.00%  wrk      [kernel.kallsyms]     [k] _raw_spin_lock_irqsave                                   [k] hrtimer_interrupt                                        -                 
     0.00%  wrk      [kernel.kallsyms]     [k] smp_apic_timer_interrupt                                 [k] irq_enter                                                -                 
     0.00%  wrk      [kernel.kallsyms]     [k] bnx2_msi_1shot                                           [k] bnx2_msi_1shot                                           -                 
     0.00%  wrk      [kernel.kallsyms]     [k] bnx2_poll_work                                           [k] dma_direct_unmap_page                                    -                 
     0.00%  wrk      [kernel.kallsyms]     [k] bnx2_poll_work                                           [k] bnx2_poll_msix                                           -                 
     0.00%  wrk      [kernel.kallsyms]     [k] bnx2_poll_msix                                           [k] napi_complete_done                                       -                 
     0.00%  wrk      wrk                   [.] hdr_mean                                                 [.] hdr_mean                                                 -                 
     0.00%  wrk      wrk                   [.] lj_BC_ISTC                                               [.] lj_BC_TNEW                                               -                 
     0.00%  wrk      libc-2.31.so          [.] __opendirat                                              [.] __strncat_sse2_unaligned                                 -                 
     0.00%  wrk      [kernel.kallsyms]     [k] __raise_softirq_irqoff                                   [k] __napi_schedule                                          -                 
     0.00%  wrk      [kernel.kallsyms]     [k] try_to_wake_up                                           [k] try_to_wake_up                                           -                 
     0.00%  wrk      [kernel.kallsyms]     [k] account_process_tick                                     [k] account_user_time                                        -                 
     0.00%  wrk      [kernel.kallsyms]     [k] update_blocked_averages                                  [k] update_rt_rq_load_avg                                    -                 
     0.00%  wrk      [kernel.kallsyms]     [k] update_blocked_averages                                  [k] __x86_indirect_thunk_rbx                                 -                 
     0.00%  wrk      [kernel.kallsyms]     [k] hrtimer_interrupt                                        [k] _raw_spin_lock_irqsave                                   -                 
     0.00%  wrk      [kernel.kallsyms]     [k] tick_handle_oneshot_broadcast                            [k] cpumask_next                                             -                 
     0.00%  wrk      [kernel.kallsyms]     [k] perf_pmu_enable.part.0                                   [k] perf_event_task_tick                                     -                 
     0.00%  wrk      [kernel.kallsyms]     [k] add_interrupt_randomness                                 [k] fast_mix                                                 -                 
     0.00%  wrk      [kernel.kallsyms]     [k] napi_schedule_prep                                       [k] bnx2_msi_1shot                                           -                 
     0.00%  wrk      [kernel.kallsyms]     [k] __lock_text_start                                        [k] update_blocked_averages                                  -                 
     0.00%  wrk      [kernel.kallsyms]     [k] interrupt_entry                                          [k] apic_timer_interrupt                                     -                 
     0.00%  wrk      [kernel.kallsyms]     [k] apic_timer_interrupt                                     [k] smp_apic_timer_interrupt                                 -                 
     0.00%  wrk      [kernel.kallsyms]     [k] __x86_indirect_thunk_rbx                                 [k] dbs_update_util_handler                                  -                 
     0.00%  wrk      [JIT] tid 11249       [.] 0x000056534e87fbb8                                       [.] lj_vm_exit_interp                                        -                 
     0.00%  wrk      [JIT] tid 11249       [.] 0x00005653513bff88                                       [.] 0x00005653513bfb3c                                       -                 
     0.00%  wrk      wrk                   [.] move_next                                                [.] hdr_value_at_percentile                                  -                 
     0.00%  wrk      wrk                   [.] hdr_value_at_percentile                                  [.] move_next                                                -                 
     0.00%  wrk      wrk                   [.] lj_str_resize                                            [.] lj_alloc_f                                               -                 
     0.00%  wrk      wrk                   [.] lj_alloc_free                                            [.] lj_str_resize                                            -                 
     0.00%  wrk      libc-2.31.so          [.] __stpncpy_sse2_unaligned                                 [.] __strncpy_sse2_unaligned                                 -                 
     0.00%  wrk      [kernel.kallsyms]     [k] nmi_handle                                               [k] __x86_indirect_thunk_rax                                 -                 
     0.00%  wrk      [kernel.kallsyms]     [k] __native_set_fixmap                                      [k] native_set_fixmap                                        -                 
     0.00%  wrk      [kernel.kallsyms]     [k] native_set_fixmap                                        [k] ghes_copy_tofrom_phys                                    -                 
     0.00%  wrk      [kernel.kallsyms]     [k] scheduler_tick                                           [k] sched_clock_tick                                         -                 
     0.00%  wrk      [kernel.kallsyms]     [k] scheduler_tick                                           [k] trigger_load_balance                                     -                 
     0.00%  wrk      [kernel.kallsyms]     [k] account_user_time                                        [k] account_user_time                                        -                 
     0.00%  wrk      [kernel.kallsyms]     [k] account_user_time                                        [k] cpuacct_account_field                                    -                 
     0.00%  wrk      [kernel.kallsyms]     [k] update_blocked_averages                                  [k] _raw_spin_lock_irqsave                                   -                 
     0.00%  wrk      [kernel.kallsyms]     [k] newidle_balance                                          [k] load_balance                                             -                 
     0.00%  wrk      [kernel.kallsyms]     [k] __accumulate_pelt_segments                               [k] update_dl_rq_load_avg                                    -                 
     0.00%  wrk      [kernel.kallsyms]     [k] update_rt_rq_load_avg                                    [k] update_blocked_averages                                  -                 
     0.00%  wrk      [kernel.kallsyms]     [k] __usecs_to_jiffies                                       [k] tcp_rearm_rto                                            -                 
     0.00%  wrk      [kernel.kallsyms]     [k] __run_timers.part.0                                      [k] run_timer_softirq                                        -                 
     0.00%  wrk      [kernel.kallsyms]     [k] __hrtimer_run_queues                                     [k] __x86_indirect_thunk_rax                                 -                 
     0.00%  wrk      [kernel.kallsyms]     [k] __handle_mm_fault                                        [k] __handle_mm_fault                                        -                 
     0.00%  wrk      [kernel.kallsyms]     [k] __slab_alloc                                             [k] ___slab_alloc                                            -                 
     0.00%  wrk      [kernel.kallsyms]     [k] consume_skb                                              [k] __dev_kfree_skb_any                                      -                 
     0.00%  wrk      [kernel.kallsyms]     [k] __napi_schedule                                          [k] bnx2_msi_1shot                                           -                 
     0.00%  wrk      [kernel.kallsyms]     [k] __dev_kfree_skb_any                                      [k] bnx2_poll_work                                           -                 
     0.00%  wrk      [kernel.kallsyms]     [k] __lock_text_start                                        [k] __hrtimer_run_queues                                     -                 
     0.00%  wrk      [JIT] tid 11249       [.] 0x00005653513bfb94                                       [.] lj_vm_exit_interp                                        -                 
     0.00%  wrk      [JIT] tid 11249       [.] 0x00005653513bfbb8                                       [.] lj_vm_exit_interp                                        -                 
     0.00%  wrk      [JIT] tid 11249       [.] 0x00005653513bff5c                                       [.] 0x00005653513bfba0                                       -                 
     0.00%  wrk      wrk                   [.] hdr_value_at_percentile                                  [.] hdr_value_at_percentile                                  -                 
     0.00%  wrk      libc-2.31.so          [.] __strncat_sse2_unaligned                                 [.] __strcat_sse2_unaligned                                  -                 
     0.00%  wrk      [kernel.kallsyms]     [k] perf_event_nmi_handler                                   [k] sched_clock                                              -                 
     0.00%  wrk      [kernel.kallsyms]     [k] native_flush_tlb_one_user                                [k] __set_pte_vaddr                                          -                 
     0.00%  wrk      [kernel.kallsyms]     [k] fill_pud                                                 [k] set_pte_vaddr                                            -                 
     0.00%  wrk      [kernel.kallsyms]     [k] __set_pte_vaddr                                          [k] set_pte_vaddr                                            -                 
     0.00%  wrk      [kernel.kallsyms]     [k] set_pte_vaddr                                            [k] fill_pud                                                 -                 
     0.00%  wrk      [kernel.kallsyms]     [k] set_pte_vaddr                                            [k] __set_pte_vaddr                                          -                 
     0.00%  wrk      [kernel.kallsyms]     [k] set_pte_vaddr                                            [k] __native_set_fixmap                                      -                 
     0.00%  wrk      [kernel.kallsyms]     [k] __native_set_fixmap                                      [k] set_pte_vaddr                                            -                 
     0.00%  wrk      [kernel.kallsyms]     [k] native_set_fixmap                                        [k] __native_set_fixmap                                      -                 
     0.00%  wrk      [kernel.kallsyms]     [k] scheduler_tick                                           [k] update_process_times                                     -                 
     0.00%  wrk      [kernel.kallsyms]     [k] sched_clock_tick                                         [k] scheduler_tick                                           -                 
     0.00%  wrk      [kernel.kallsyms]     [k] select_task_rq_fair                                      [k] select_task_rq_fair                                      -                 
     0.00%  wrk      [kernel.kallsyms]     [k] update_blocked_averages                                  [k] update_rq_clock                                          -                 
     0.00%  wrk      [kernel.kallsyms]     [k] __accumulate_pelt_segments                               [k] update_rt_rq_load_avg                                    -                 
     0.00%  wrk      [kernel.kallsyms]     [k] update_rt_rq_load_avg                                    [k] __accumulate_pelt_segments                               -                 
     0.00%  wrk      [kernel.kallsyms]     [k] note_interrupt                                           [k] handle_irq_event_percpu                                  -                 
     0.00%  wrk      [kernel.kallsyms]     [k] call_timer_fn                                            [k] __x86_indirect_thunk_r14                                 -                 
     0.00%  wrk      [kernel.kallsyms]     [k] update_process_times                                     [k] scheduler_tick                                           -                 
     0.00%  wrk      [kernel.kallsyms]     [k] update_process_times                                     [k] run_posix_cpu_timers                                     -                 
     0.00%  wrk      [kernel.kallsyms]     [k] __inc_numa_state                                         [k] rmqueue                                                  -                 
     0.00%  wrk      [kernel.kallsyms]     [k] vma_interval_tree_remove                                 [k] vma_interval_tree_remove                                 -                 
     0.00%  wrk      [kernel.kallsyms]     [k] mmap_region                                              [k] mmap_region                                              -                 
     0.00%  wrk      [kernel.kallsyms]     [k] __bitmap_subset                                          [k] __bitmap_subset                                          -                 
     0.00%  wrk      [kernel.kallsyms]     [k] dql_completed                                            [k] bnx2_poll_work                                           -                 
     0.00%  wrk      [kernel.kallsyms]     [k] __sk_mem_raise_allocated                                 [k] __sk_mem_raise_allocated                                 -                 
     0.00%  wrk      [kernel.kallsyms]     [k] __sk_mem_raise_allocated                                 [k] __x86_indirect_thunk_rdx                                 -                 
     0.00%  wrk      [kernel.kallsyms]     [k] __sk_mem_schedule                                        [k] tcp_sendmsg_locked                                       -                 
     0.00%  wrk      [kernel.kallsyms]     [k] kfree_skbmem                                             [k] consume_skb                                              -                 
     0.00%  wrk      [kernel.kallsyms]     [k] tcp_write_timer_handler                                  [k] tcp_write_timer_handler                                  -                 
     0.00%  wrk      [kernel.kallsyms]     [k] __udp4_lib_lookup                                        [k] __udp4_lib_lookup                                        -                 
     0.00%  wrk      [kernel.kallsyms]     [k] udp_gro_receive                                          [k] udp_gro_receive                                          -                 
     0.00%  wrk      [kernel.kallsyms]     [k] __x86_indirect_thunk_rdx                                 [k] tcp_leave_memory_pressure                                -                 
     0.00%  wrk      [kernel.kallsyms]     [k] __x86_indirect_thunk_rdx                                 [k] __x86_indirect_thunk_rdx                                 -                 
     0.00%  wrk      [kernel.kallsyms]     [k] bnx2_msi_1shot                                           [k] __handle_irq_event_percpu                                -                 
     0.00%  wrk      [kernel.kallsyms]     [k] bnx2_poll_msix                                           [k] net_rx_action                                            -                 
     0.00%  wrk      [kernel.kallsyms]     [k] handle_response                                          [k] handle_response                                          -                 
     0.00%  wrk      [kernel.kallsyms]     [k] fill_pmd                                                 [k] __set_pte_vaddr                                          -                 
     0.00%  wrk      [kernel.kallsyms]     [k] __set_pte_vaddr                                          [k] fill_pmd                                                 -                 
     0.00%  wrk      [kernel.kallsyms]     [k] commit_creds                                             [k] commit_creds                                             -                 
     0.00%  wrk      [kernel.kallsyms]     [k] scheduler_tick                                           [k] calc_global_load_tick                                    -                 
     0.00%  wrk      [kernel.kallsyms]     [k] scheduler_tick                                           [k] perf_event_task_tick                                     -                 
     0.00%  wrk      [kernel.kallsyms]     [k] calc_global_load_tick                                    [k] scheduler_tick                                           -                 
     0.00%  wrk      [kernel.kallsyms]     [k] calc_global_load_tick                                    [k] calc_global_load_tick                                    -                 
     0.00%  wrk      [kernel.kallsyms]     [k] update_cfs_group                                         [k] task_tick_fair                                           -                 
     0.00%  wrk      [kernel.kallsyms]     [k] task_tick_fair                                           [k] scheduler_tick                                           -                 
     0.00%  wrk      [kernel.kallsyms]     [k] update_sd_lb_stats                                       [k] __bitmap_subset                                          -                 
     0.00%  wrk      [kernel.kallsyms]     [k] newidle_balance                                          [k] sched_clock_cpu                                          -                 
     0.00%  wrk      [kernel.kallsyms]     [k] trigger_load_balance                                     [k] scheduler_tick                                           -                 
     0.00%  wrk      [kernel.kallsyms]     [k] update_dl_rq_load_avg                                    [k] __accumulate_pelt_segments                               -                 
     0.00%  wrk      [kernel.kallsyms]     [k] jiffies_to_usecs                                         [k] tcp_rearm_rto                                            -                 
     0.00%  wrk      [kernel.kallsyms]     [k] __run_timers.part.0                                      [k] call_timer_fn                                            -                 
     0.00%  wrk      [kernel.kallsyms]     [k] __remove_hrtimer                                         [k] __hrtimer_run_queues                                     -                 
     0.00%  wrk      [kernel.kallsyms]     [k] __hrtimer_run_queues                                     [k] __lock_text_start                                        -                 
     0.00%  wrk      [kernel.kallsyms]     [k] run_posix_cpu_timers                                     [k] run_posix_cpu_timers                                     -                 
     0.00%  wrk      [kernel.kallsyms]     [k] __cgroup_account_cputime_field                           [k] __cgroup_account_cputime_field                           -                 
     0.00%  wrk      [kernel.kallsyms]     [k] irq_work_queue                                           [k] __irq_work_queue_local                                   -                 
     0.00%  wrk      [kernel.kallsyms]     [k] irq_work_queue                                           [k] irq_work_queue                                           -                 
     0.00%  wrk      [kernel.kallsyms]     [k] perf_iterate_sb                                          [k] perf_iterate_sb                                          -                 
     0.00%  wrk      [kernel.kallsyms]     [k] perf_event_task_tick                                     [k] scheduler_tick                                           -                 
     0.00%  wrk      [kernel.kallsyms]     [k] __vma_adjust                                             [k] __vma_adjust                                             -                 
     0.00%  wrk      [kernel.kallsyms]     [k] prep_new_page                                            [k] kernel_poison_pages                                      -                 
     0.00%  wrk      [kernel.kallsyms]     [k] get_page_from_freelist                                   [k] prep_new_page                                            -                 
     0.00%  wrk      [kernel.kallsyms]     [k] __slab_free                                              [k] put_cpu_partial                                          -                 
     0.00%  wrk      [kernel.kallsyms]     [k] uhci_scan_schedule.part.0                                [k] uhci_scan_schedule.part.0                                -                 
     0.00%  wrk      [kernel.kallsyms]     [k] dbs_update_util_handler                                  [k] irq_work_queue                                           -                 
     0.00%  wrk      [kernel.kallsyms]     [k] __sk_mem_raise_allocated                                 [k] __sk_mem_schedule                                        -                 
     0.00%  wrk      [kernel.kallsyms]     [k] __sk_mem_schedule                                        [k] __sk_mem_schedule                                        -                 
     0.00%  wrk      [kernel.kallsyms]     [k] sk_reset_timer                                           [k] sk_reset_timer                                           -                 
     0.00%  wrk      [kernel.kallsyms]     [k] tcp_leave_memory_pressure                                [k] __sk_mem_raise_allocated                                 -                 
     0.00%  wrk      [kernel.kallsyms]     [k] tcp_leave_memory_pressure                                [k] tcp_leave_memory_pressure                                -                 
     0.00%  wrk      [kernel.kallsyms]     [k] tcp_sendmsg_locked                                       [k] __sk_mem_schedule                                        -                 
     0.00%  wrk      [kernel.kallsyms]     [k] tcp_rearm_rto                                            [k] __usecs_to_jiffies                                       -                 
     0.00%  wrk      [kernel.kallsyms]     [k] udp4_lib_lookup2                                         [k] __udp4_lib_lookup                                        -                 
     0.00%  wrk      [kernel.kallsyms]     [k] __udp4_lib_lookup                                        [k] udp4_lib_lookup2                                         -                 
     0.00%  wrk      [kernel.kallsyms]     [k] _raw_spin_lock_irqsave                                   [k] update_blocked_averages                                  -                 
     0.00%  wrk      [kernel.kallsyms]     [k] __x86_indirect_thunk_rax                                 [k] run_rebalance_domains                                    -                 
     0.00%  wrk      [kernel.kallsyms]     [k] bnx2_msi_1shot                                           [k] napi_schedule_prep                                       -                 
     0.00%  wrk      [kernel.kallsyms]     [k] bnx2_poll_work                                           [k] dql_completed                                            -                 
     0.00%  wrk      wrk                   [.] lj_str_resize                                            [.] lj_mem_realloc                                           -                 
     0.00%  wrk      wrk                   [.] lj_BC_TNEW                                               [.] lj_BC_TNEW                                               -                 
     0.00%  wrk      libc-2.31.so          [.] __strcat_sse2_unaligned                                  [.] __strcat_sse2                                            -                 
     0.00%  wrk      [kernel.kallsyms]     [k] perf_event_nmi_handler                                   [k] nmi_handle                                               -                 
     0.00%  wrk      [kernel.kallsyms]     [k] update_rq_clock                                          [k] scheduler_tick                                           -                 
     0.00%  wrk      [kernel.kallsyms]     [k] scheduler_tick                                           [k] update_rq_clock                                          -                 
     0.00%  wrk      [kernel.kallsyms]     [k] scheduler_tick                                           [k] _raw_spin_lock                                           -                 
     0.00%  wrk      [kernel.kallsyms]     [k] scheduler_tick                                           [k] __x86_indirect_thunk_rax                                 -                 
     0.00%  wrk      [kernel.kallsyms]     [k] update_blocked_averages                                  [k] newidle_balance                                          -                 
     0.00%  wrk      [kernel.kallsyms]     [k] load_balance                                             [k] __bitmap_and                                             -                 
     0.00%  wrk      [kernel.kallsyms]     [k] update_process_times                                     [k] tick_sched_handle                                        -                 
     0.00%  wrk      [kernel.kallsyms]     [k] enqueue_hrtimer                                          [k] __hrtimer_run_queues                                     -                 
     0.00%  wrk      [kernel.kallsyms]     [k] ntp_tick_length                                          [k] timekeeping_advance                                      -                 
     0.00%  wrk      [kernel.kallsyms]     [k] run_posix_cpu_timers                                     [k] update_process_times                                     -                 
     0.00%  wrk      [kernel.kallsyms]     [k] tick_do_broadcast                                        [k] find_first_bit                                           -                 
     0.00%  wrk      [kernel.kallsyms]     [k] tick_handle_oneshot_broadcast                            [k] memset                                                   -                 
     0.00%  wrk      [kernel.kallsyms]     [k] __irq_work_queue_local                                   [k] __irq_work_queue_local                                   -                 
     0.00%  wrk      [kernel.kallsyms]     [k] __irq_work_queue_local                                   [k] llist_add_batch                                          -                 
     0.00%  wrk      [kernel.kallsyms]     [k] perf_sample_event_took                                   [k] perf_event_nmi_handler                                   -                 
     0.00%  wrk      [kernel.kallsyms]     [k] perf_sample_event_took                                   [k] perf_sample_event_took                                   -                 
     0.00%  wrk      [kernel.kallsyms]     [k] rmqueue                                                  [k] __inc_numa_state                                         -                 
     0.00%  wrk      [kernel.kallsyms]     [k] __kmalloc_node_track_caller                              [k] __slab_alloc                                             -                 
     0.00%  wrk      [kernel.kallsyms]     [k] llist_add_batch                                          [k] __irq_work_queue_local                                   -                 
     0.00%  wrk      [kernel.kallsyms]     [k] __ghes_peek_estatus.isra.0                               [k] __ghes_peek_estatus.isra.0                               -                 
     0.00%  wrk      [kernel.kallsyms]     [k] __sk_mem_schedule                                        [k] __sk_mem_raise_allocated                                 -                 
     0.00%  wrk      [kernel.kallsyms]     [k] eth_gro_receive                                          [k] eth_gro_receive                                          -                 
     0.00%  wrk      [kernel.kallsyms]     [k] tcp_rearm_rto                                            [k] jiffies_to_usecs                                         -                 
     0.00%  wrk      [kernel.kallsyms]     [k] tcp_write_timer                                          [k] tcp_write_timer                                          -                 
     0.00%  wrk      [kernel.kallsyms]     [k] tcp_v4_inbound_md5_hash                                  [k] tcp_v4_inbound_md5_hash                                  -                 
     0.00%  wrk      [kernel.kallsyms]     [k] udp_queue_rcv_one_skb                                    [k] udp_queue_rcv_one_skb                                    -                 
     0.00%  wrk      [kernel.kallsyms]     [k] udp4_gro_receive                                         [k] udp4_gro_receive                                         -                 
     0.00%  wrk      [kernel.kallsyms]     [k] _raw_spin_lock                                           [k] scheduler_tick                                           -                 
     0.00%  wrk      [kernel.kallsyms]     [k] __x86_indirect_thunk_rax                                 [k] task_tick_fair                                           -                 
     0.00%  wrk      wrk                   [.] aeAddMillisecondsToNow                                   [.] aeProcessEvents                                          -                 
     0.00%  wrk      wrk                   [.] aeProcessEvents                                          [.] aeAddMillisecondsToNow                                   -                 
     0.00%  wrk      wrk                   [.] move_next                                                [.] hdr_mean                                                 -                 
     0.00%  wrk      wrk                   [.] lj_str_resize                                            [.] gc_onestep                                               -                 
     0.00%  wrk      wrk                   [k] gc_sweep                                                 [k] irq_entries_start                                        -                 
     0.00%  wrk      wrk                   [.] lj_ir_kgc                                                [.] lj_ir_kgc                                                -                 
     0.00%  wrk      wrk                   [.] lj_opt_cse                                               [.] lj_opt_cse                                               -                 
     0.00%  wrk      libgcc_s.so.1         [.] __enable_execute_stack                                   [.] __enable_execute_stack                                   -                 
     0.00%  wrk      [kernel.kallsyms]     [k] perf_event_nmi_handler                                   [k] perf_sample_event_took                                   -                 
     0.00%  wrk      [kernel.kallsyms]     [k] sched_clock                                              [k] perf_event_nmi_handler                                   -                 
     0.00%  wrk      [kernel.kallsyms]     [k] update_rq_clock                                          [k] update_rq_clock                                          -                 
     0.00%  wrk      [kernel.kallsyms]     [k] check_preempt_curr                                       [k] check_preempt_curr                                       -                 
     0.00%  wrk      [kernel.kallsyms]     [k] update_sd_lb_stats                                       [k] find_busiest_group                                       -                 
     0.00%  wrk      [kernel.kallsyms]     [k] load_balance                                             [k] find_busiest_group                                       -                 
     0.00%  wrk      [kernel.kallsyms]     [k] __internal_add_timer                                     [k] enqueue_timer                                            -                 
     0.00%  wrk      [kernel.kallsyms]     [k] __internal_add_timer                                     [k] mod_timer                                                -                 
     0.00%  wrk      [kernel.kallsyms]     [k] hrtimer_update_next_event                                [k] hrtimer_interrupt                                        -                 
     0.00%  wrk      [kernel.kallsyms]     [k] __hrtimer_run_queues                                     [k] __remove_hrtimer                                         -                 
     0.00%  wrk      [kernel.kallsyms]     [k] hrtimer_interrupt                                        [k] hrtimer_update_next_event                                -                 
     0.00%  wrk      [kernel.kallsyms]     [k] hrtimer_interrupt                                        [k] __lock_text_start                                        -                 
     0.00%  wrk      [kernel.kallsyms]     [k] timekeeping_advance                                      [k] ntp_tick_length                                          -                 
     0.00%  wrk      [kernel.kallsyms]     [k] tick_sched_do_timer                                      [k] tick_do_update_jiffies64.part.0                          -                 
     0.00%  wrk      [kernel.kallsyms]     [k] __irq_work_queue_local                                   [k] arch_irq_work_raise                                      -                 
     0.00%  wrk      [kernel.kallsyms]     [k] perf_event_mmap_output                                   [k] perf_event_mmap_output                                   -                 
     0.00%  wrk      [kernel.kallsyms]     [k] rmqueue                                                  [k] get_page_from_freelist                                   -                 
     0.00%  wrk      [kernel.kallsyms]     [k] __bitmap_and                                             [k] load_balance                                             -                 
     0.00%  wrk      [kernel.kallsyms]     [k] ghes_copy_tofrom_phys                                    [k] memcpy_fromio                                            -                 
     0.00%  wrk      [kernel.kallsyms]     [k] sk_filter_trim_cap                                       [k] sk_filter_trim_cap                                       -                 
     0.00%  wrk      [kernel.kallsyms]     [k] ip_idents_reserve                                        [k] prandom_u32                                              -                 
     0.00%  wrk      [kernel.kallsyms]     [k] tcp_ack_update_rtt.isra.0                                [k] tcp_ack_update_rtt.isra.0                                -                 
     0.00%  wrk      [kernel.kallsyms]     [k] memset                                                   [k] tick_handle_oneshot_broadcast                            -                 
     0.00%  wrk      [kernel.kallsyms]     [k] __x86_indirect_thunk_rax                                 [k] run_timer_softirq                                        -                 
