# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 3K of event 'cycles:ppp'
# Event count (approx.): 3789
#
# Overhead  Command       Source Shared Object  Source Symbol                                  Target Symbol                                  Basic Block Cycles
# ........  ............  ....................  .............................................  .............................................  ..................
#
     0.13%  redis-server  [kernel.kallsyms]     [k] __intel_pmu_enable_all.constprop.23        [k] intel_pmu_lbr_enable_all                   3                 
     0.13%  redis-server  [kernel.kallsyms]     [k] intel_pmu_pebs_enable_all                  [k] __intel_pmu_enable_all.constprop.23        1                 
     0.13%  redis-server  [kernel.kallsyms]     [k] intel_pmu_lbr_enable_all                   [k] __intel_pmu_enable_all.constprop.23        4                 
     0.13%  redis-server  [kernel.kallsyms]     [k] sched_clock                                [k] native_sched_clock                         1                 
     0.13%  redis-server  [kernel.kallsyms]     [.] rcu_all_qs                                 [.] _cond_resched                              5                 
     0.13%  redis-server  [kernel.kallsyms]     [k] seccomp_run_filters                        [k] __seccomp_filter                           8                 
     0.13%  redis-server  [kernel.kallsyms]     [k] __seccomp_filter                           [k] seccomp_run_filters                        20                
     0.13%  redis-server  [kernel.kallsyms]     [k] perf_output_copy                           [k] perf_output_sample                         6                 
     0.13%  redis-server  [kernel.kallsyms]     [k] fput                                       [k] sys_epoll_wait                             7                 
     0.13%  redis-server  [kernel.kallsyms]     [k] __fget_light                               [k] __fdget                                    1                 
     0.13%  redis-server  [kernel.kallsyms]     [k] __fdget                                    [k] sys_epoll_wait                             1                 
     0.13%  redis-server  [kernel.kallsyms]     [k] seq_put_decimal_ull                        [k] strlen                                     15                
     0.13%  redis-server  [kernel.kallsyms]     [.] seq_put_decimal_ll                         [.] memcpy                                     3                 
     0.13%  redis-server  [kernel.kallsyms]     [k] do_task_stat                               [k] seq_put_decimal_ull                        1                 
     0.13%  redis-server  [kernel.kallsyms]     [k] strlen                                     [k] seq_put_decimal_ull                        4                 
     0.13%  redis-server  [kernel.kallsyms]     [.] memcpy_erms                                [.] seq_put_decimal_ll                         28                
     0.13%  redis-server  [kernel.kallsyms]     [k] __indirect_thunk_start                     [k] sys_close                                  2                 
     0.11%  redis-server  redis-server          [k] mstime                                     [k] getLRUClock                                6                 
     0.11%  redis-server  redis-server          [.] updateClientMemoryUsage                    [.] clientsCron                                5                 
     0.11%  redis-server  redis-server          [.] updateClientMemoryUsage                    [.] getClientMemoryUsage                       2                 
     0.11%  redis-server  redis-server          [.] updateClientMemoryUsage                    [.] getClientType                              1                 
     0.11%  redis-server  redis-server          [.] clientsCron                                [.] updateClientMemoryUsage                    2                 
     0.11%  redis-server  redis-server          [.] databasesCron                              [.] tryResizeHashTables                        57                
     0.11%  redis-server  redis-server          [.] cronUpdateMemoryStats                      [.] zmalloc_get_allocator_info                 2                 
     0.11%  redis-server  redis-server          [k] serverCron                                 [k] cronUpdateMemoryStats                      2                 
     0.11%  redis-server  redis-server          [k] serverCron                                 [k] getLRUClock                                1                 
     0.11%  redis-server  redis-server          [.] zmalloc_get_rss                            [.] cronUpdateMemoryStats                      2                 
     0.11%  redis-server  redis-server          [k] zmalloc_get_rss                            [k] get_proc_stat_ll                           1                 
     0.11%  redis-server  redis-server          [.] getClientMemoryUsage                       [.] getClientOutputBufferMemoryUsage           2                 
     0.11%  redis-server  redis-server          [.] getClientMemoryUsage                       [.] pubsubMemOverhead                          1                 
     0.11%  redis-server  redis-server          [.] getClientMemoryUsage                       [.] multiStateMemOverhead                      3                 
     0.11%  redis-server  redis-server          [k] getLRUClock                                [k] serverCron                                 6                 
     0.11%  redis-server  redis-server          [.] activeExpireCycle                          [.] checkClientPauseTimeoutAndReturnIfPaused   1                 
     0.11%  redis-server  redis-server          [.] je_arena_stats_merge                       [.] je_extents_npages_get                      2                 
     0.11%  redis-server  redis-server          [.] je_arena_stats_merge                       [.] je_extents_nextents_get                    12                
     0.11%  redis-server  redis-server          [.] je_background_thread_stats_read            [.] pthread_mutex_unlock@plt                   3                 
     0.11%  redis-server  redis-server          [.] ctl_lookup                                 [.] strncmp@plt                                28                
     0.11%  redis-server  redis-server          [.] arenas_i_impl                              [.] ctl_refresh                                5                 
     0.11%  redis-server  redis-server          [.] ctl_arena_stats_sdmerge                    [.] je_nstime_add                              22                
     0.11%  redis-server  redis-server          [.] ctl_arena_stats_sdmerge                    [.] je_nstime_add                              21                
     0.11%  redis-server  redis-server          [.] ctl_refresh                                [.] arenas_i_impl                              15                
