# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 3K of event 'cycles:ppp'
# Event count (approx.): 3789
#
# Overhead  Command       Source Shared Object  Source Symbol                                  Target Symbol                                  Basic Block Cycles
# ........  ............  ....................  .............................................  .............................................  ..................
#
     0.03%  redis-server  libpthread-2.31.so    [.] __pthread_mutex_trylock                    [.] je_background_thread_stats_read            49                
     0.03%  redis-server  libpthread-2.31.so    [.] __pthread_mutex_trylock                    [.] je_background_thread_stats_read            44                
     0.03%  redis-server  libpthread-2.31.so    [.] __pthread_mutex_trylock                    [.] je_base_stats_get                          186               
     0.03%  redis-server  libpthread-2.31.so    [.] __pthread_mutex_trylock                    [.] je_base_stats_get                          45                
     0.03%  redis-server  libpthread-2.31.so    [.] __pthread_mutex_trylock                    [.] je_base_stats_get                          38                
     0.03%  redis-server  libpthread-2.31.so    [.] __pthread_mutex_trylock                    [.] je_base_stats_get                          35                
     0.03%  redis-server  libpthread-2.31.so    [.] __pthread_mutex_trylock                    [.] stats_allocated_ctl                        70                
     0.03%  redis-server  libpthread-2.31.so    [.] __pthread_mutex_trylock                    [.] stats_allocated_ctl                        67                
     0.03%  redis-server  libpthread-2.31.so    [.] __pthread_mutex_trylock                    [.] stats_resident_ctl                         66                
     0.03%  redis-server  libpthread-2.31.so    [.] __pthread_mutex_trylock                    [.] ctl_refresh                                58                
     0.03%  redis-server  libpthread-2.31.so    [.] __pthread_mutex_trylock                    [.] epoch_ctl                                  961               
     0.03%  redis-server  libpthread-2.31.so    [.] __pthread_mutex_trylock                    [.] epoch_ctl                                  715               
     0.03%  redis-server  libpthread-2.31.so    [.] __pthread_mutex_trylock                    [.] epoch_ctl                                  440               
     0.03%  redis-server  libpthread-2.31.so    [.] __pthread_mutex_trylock                    [.] epoch_ctl                                  432               
     0.03%  redis-server  libpthread-2.31.so    [.] __pthread_mutex_unlock_usercnt             [.] je_arena_stats_merge                       284               
     0.03%  redis-server  libpthread-2.31.so    [.] __pthread_mutex_unlock_usercnt             [.] je_arena_stats_merge                       265               
     0.03%  redis-server  libpthread-2.31.so    [.] __pthread_mutex_unlock_usercnt             [.] je_arena_stats_merge                       203               
     0.03%  redis-server  libpthread-2.31.so    [.] __pthread_mutex_unlock_usercnt             [.] je_arena_stats_merge                       150               
     0.03%  redis-server  libpthread-2.31.so    [.] __pthread_mutex_unlock_usercnt             [.] je_arena_stats_merge                       45                
     0.03%  redis-server  libpthread-2.31.so    [.] __pthread_mutex_unlock_usercnt             [.] je_arena_stats_merge                       42                
     0.03%  redis-server  libpthread-2.31.so    [.] __pthread_mutex_unlock_usercnt             [.] je_arena_stats_merge                       38                
     0.03%  redis-server  libpthread-2.31.so    [.] __pthread_mutex_unlock_usercnt             [.] je_arena_stats_merge                       36                
     0.03%  redis-server  libpthread-2.31.so    [.] __pthread_mutex_unlock_usercnt             [.] je_arena_stats_merge                       30                
     0.03%  redis-server  libpthread-2.31.so    [.] __pthread_mutex_unlock_usercnt             [.] je_arena_stats_merge                       26                
     0.03%  redis-server  libpthread-2.31.so    [.] __pthread_mutex_unlock_usercnt             [.] je_background_thread_stats_read            52                
     0.03%  redis-server  libpthread-2.31.so    [.] __pthread_mutex_unlock_usercnt             [.] je_background_thread_stats_read            51                
     0.03%  redis-server  libpthread-2.31.so    [.] __pthread_mutex_unlock_usercnt             [.] je_background_thread_stats_read            42                
     0.03%  redis-server  libpthread-2.31.so    [.] __pthread_mutex_unlock_usercnt             [.] je_background_thread_stats_read            41                
     0.03%  redis-server  libpthread-2.31.so    [.] __pthread_mutex_unlock_usercnt             [.] je_background_thread_stats_read            38                
     0.03%  redis-server  libpthread-2.31.so    [.] __pthread_mutex_unlock_usercnt             [.] je_background_thread_stats_read            35                
     0.03%  redis-server  libpthread-2.31.so    [.] __pthread_mutex_unlock_usercnt             [.] je_background_thread_stats_read            33                
     0.03%  redis-server  libpthread-2.31.so    [.] __pthread_mutex_unlock_usercnt             [.] stats_resident_ctl                         53                
     0.03%  redis-server  libpthread-2.31.so    [.] __pthread_mutex_unlock_usercnt             [.] ctl_refresh                                55                
     0.03%  redis-server  libpthread-2.31.so    [.] __pthread_mutex_unlock_usercnt             [.] epoch_ctl                                  56                
     0.03%  redis-server  libpthread-2.31.so    [k] __pthread_enable_asynccancel               [k] __close                                    27                
     0.03%  redis-server  libpthread-2.31.so    [k] __pthread_enable_asynccancel               [k] __open64                                   238               
     0.03%  redis-server  libpthread-2.31.so    [k] __pthread_enable_asynccancel               [k] __open64                                   219               
     0.03%  redis-server  libpthread-2.31.so    [.] __pthread_enable_asynccancel               [.] __open64                                   162               
     0.03%  redis-server  libpthread-2.31.so    [k] __pthread_enable_asynccancel               [k] __open64                                   161               
     0.03%  redis-server  libpthread-2.31.so    [k] __pthread_disable_asynccancel              [k] __libc_read                                43                
     0.03%  redis-server  libpthread-2.31.so    [k] __pthread_disable_asynccancel              [k] __libc_read                                37                
     0.03%  redis-server  libpthread-2.31.so    [k] __pthread_disable_asynccancel              [k] __libc_read                                36                
     0.03%  redis-server  libpthread-2.31.so    [k] __libc_read                                [k] __pthread_disable_asynccancel              24                
     0.03%  redis-server  libpthread-2.31.so    [k] __libc_read                                [k] __pthread_disable_asynccancel              21                
     0.03%  redis-server  libpthread-2.31.so    [k] __libc_read                                [k] __pthread_disable_asynccancel              20                
     0.03%  redis-server  libpthread-2.31.so    [k] __close                                    [k] __pthread_enable_asynccancel               295               
     0.03%  redis-server  libpthread-2.31.so    [k] __close                                    [k] __pthread_enable_asynccancel               270               
     0.03%  redis-server  libpthread-2.31.so    [k] __close                                    [k] __pthread_enable_asynccancel               251               
     0.03%  redis-server  libpthread-2.31.so    [.] __close                                    [.] __pthread_disable_asynccancel              12                
     0.03%  redis-server  libpthread-2.31.so    [.] __close                                    [.] __pthread_disable_asynccancel              9                 
     0.03%  redis-server  libpthread-2.31.so    [k] __close                                    [k] 0xfffffe000074c000                         40                
     0.03%  redis-server  libpthread-2.31.so    [k] __open64                                   [k] __pthread_enable_asynccancel               255               
     0.03%  redis-server  libpthread-2.31.so    [k] __open64                                   [k] __pthread_enable_asynccancel               243               
     0.03%  redis-server  libpthread-2.31.so    [k] __open64                                   [k] __pthread_enable_asynccancel               182               
     0.03%  redis-server  libpthread-2.31.so    [.] __open64                                   [.] __pthread_enable_asynccancel               172               
     0.03%  redis-server  libpthread-2.31.so    [.] __open64                                   [.] __pthread_disable_asynccancel              21                
     0.03%  redis-server  libpthread-2.31.so    [k] __open64                                   [k] 0xfffffe000074c000                         42                
     0.03%  redis-server  libc-2.31.so          [.] clock_gettime                              [.] __vdso_clock_gettime                       753               
     0.03%  redis-server  libc-2.31.so          [.] clock_gettime                              [.] __vdso_clock_gettime                       748               
     0.03%  redis-server  libc-2.31.so          [.] clock_gettime                              [.] __vdso_clock_gettime                       473               
     0.03%  redis-server  libc-2.31.so          [.] clock_gettime                              [.] __vdso_clock_gettime                       182               
     0.03%  redis-server  libc-2.31.so          [.] clock_gettime                              [.] __vdso_clock_gettime                       32                
     0.03%  redis-server  libc-2.31.so          [.] clock_gettime                              [.] getMonotonicUs_posix                       3                 
     0.03%  redis-server  libc-2.31.so          [.] clock_gettime                              [.] getMonotonicUs_posix                       2                 
     0.03%  redis-server  libc-2.31.so          [.] clock_gettime                              [.] nstime_update_impl                         2                 
     0.03%  redis-server  libc-2.31.so          [.] __sysconf                                  [.] __getpagesize                              316               
     0.03%  redis-server  libc-2.31.so          [k] __sysconf                                  [k] __getpagesize                              288               
     0.03%  redis-server  libc-2.31.so          [k] __sysconf                                  [k] __getpagesize                              263               
     0.03%  redis-server  libc-2.31.so          [.] __sysconf                                  [.] __getpagesize                              240               
     0.03%  redis-server  libc-2.31.so          [k] __sysconf                                  [k] __getpagesize                              234               
     0.03%  redis-server  libc-2.31.so          [k] __getpagesize                              [k] __sysconf                                  263               
     0.03%  redis-server  libc-2.31.so          [k] __getpagesize                              [k] __sysconf                                  251               
     0.03%  redis-server  libc-2.31.so          [k] __getpagesize                              [k] __sysconf                                  156               
     0.03%  redis-server  libc-2.31.so          [.] __getpagesize                              [.] __sysconf                                  149               
     0.03%  redis-server  libc-2.31.so          [.] epoll_wait                                 [.] aeProcessEvents                            69                
     0.03%  redis-server  libc-2.31.so          [.] epoll_wait                                 [.] aeProcessEvents                            68                
     0.03%  redis-server  libc-2.31.so          [.] epoll_wait                                 [.] aeProcessEvents                            59                
     0.03%  redis-server  libc-2.31.so          [.] epoll_wait                                 [.] aeProcessEvents                            28                
     0.03%  redis-server  libc-2.31.so          [.] epoll_wait                                 [.] aeProcessEvents                            26                
     0.03%  redis-server  libc-2.31.so          [k] epoll_wait                                 [k] 0xfffffe000074c000                         42                
     0.03%  redis-server  libc-2.31.so          [k] epoll_wait                                 [k] 0x00007f7273a49d80                         254               
     0.03%  redis-server  libc-2.31.so          [.] epoll_wait                                 [.] 0x00007f7273a49de0                         633               
     0.03%  redis-server  libc-2.31.so          [.] epoll_wait                                 [.] 0x00007f7273a49de0                         603               
     0.03%  redis-server  libc-2.31.so          [.] epoll_wait                                 [.] 0x00007f7273a49de0                         602               
     0.03%  redis-server  libc-2.31.so          [.] epoll_wait                                 [.] 0x00007f7273a49de0                         376               
     0.03%  redis-server  libc-2.31.so          [.] epoll_wait                                 [.] 0x00007f7273a49de0                         370               
     0.03%  redis-server  libc-2.31.so          [.] 0x00007f7273a05759                         [.] get_proc_stat_ll                           810               
     0.03%  redis-server  libc-2.31.so          [.] 0x00007f7273a05759                         [.] get_proc_stat_ll                           796               
     0.03%  redis-server  libc-2.31.so          [.] 0x00007f7273a05759                         [.] get_proc_stat_ll                           555               
     0.03%  redis-server  libc-2.31.so          [.] 0x00007f7273a05759                         [.] get_proc_stat_ll                           546               
     0.03%  redis-server  libc-2.31.so          [k] 0x00007f7273a49dab                         [k] epoll_wait                                 160               
     0.03%  redis-server  libc-2.31.so          [.] 0x00007f7273a49e0f                         [.] epoll_wait                                 5                 
     0.03%  redis-server  libc-2.31.so          [.] 0x00007f7273a7f65d                         [.] 0x00007f7273a815cd                         390               
     0.03%  redis-server  libc-2.31.so          [.] 0x00007f7273a8096c                         [.] @plt                                       90                
     0.03%  redis-server  libc-2.31.so          [.] 0x00007f7273a8096c                         [.] @plt                                       29                
     0.03%  redis-server  libc-2.31.so          [.] 0x00007f7273a81054                         [.] @plt                                       9                 
     0.03%  redis-server  libc-2.31.so          [.] 0x00007f7273a81573                         [.] 0x00007f7273a811f0                         775               
     0.03%  redis-server  libc-2.31.so          [.] 0x00007f7273a81573                         [.] 0x00007f7273a811f0                         486               
     0.03%  redis-server  libc-2.31.so          [.] 0x00007f7273a81594                         [.] 0x00007f7273a82650                         14                
     0.03%  redis-server  libc-2.31.so          [.] 0x00007f7273a815c8                         [.] 0x00007f7273a7f2c0                         71                
     0.03%  redis-server  libc-2.31.so          [.] 0x00007f7273a815fe                         [.] updateCachedTime                           8                 
     0.03%  redis-server  libc-2.31.so          [.] 0x00007f7273a82840                         [.] @plt                                       170               
     0.03%  redis-server  libc-2.31.so          [.] 0x00007f7273a828be                         [.] 0x00007f7273a81599                         17                
     0.03%  redis-server  libc-2.31.so          [.] 0x00007f7273a82a29                         [.] 0x00007f7273a81050                         524               
     0.03%  redis-server  libc-2.31.so          [.] 0x00007f7273b21863                         [.] 0x00007f7273a82845                         166               
     0.03%  redis-server  libc-2.31.so          [.] 0x00007f7273b21cbf                         [.] ctl_lookup                                 64                
     0.03%  redis-server  libc-2.31.so          [.] 0x00007f7273b21cbf                         [.] ctl_lookup                                 7                 
     0.03%  redis-server  libc-2.31.so          [.] 0x00007f7273b22045                         [.] ctl_lookup                                 315               
     0.03%  redis-server  libc-2.31.so          [.] 0x00007f7273b22045                         [.] ctl_lookup                                 302               
     0.03%  redis-server  libc-2.31.so          [.] 0x00007f7273b22045                         [.] ctl_lookup                                 236               
     0.03%  redis-server  libc-2.31.so          [.] 0x00007f7273b22045                         [.] ctl_lookup                                 228               
     0.03%  redis-server  libc-2.31.so          [.] 0x00007f7273b22045                         [.] ctl_lookup                                 200               
     0.03%  redis-server  libc-2.31.so          [.] 0x00007f7273b22045                         [.] ctl_lookup                                 75                
     0.03%  redis-server  libc-2.31.so          [.] 0x00007f7273b22045                         [.] ctl_lookup                                 73                
     0.03%  redis-server  libc-2.31.so          [.] 0x00007f7273b22045                         [.] ctl_lookup                                 50                
     0.03%  redis-server  libc-2.31.so          [.] 0x00007f7273b22045                         [.] ctl_lookup                                 34                
     0.03%  redis-server  libc-2.31.so          [.] 0x00007f7273b2207f                         [.] ctl_lookup                                 117               
     0.03%  redis-server  libc-2.31.so          [.] 0x00007f7273b3773a                         [.] 0x00007f7273a80971                         261               
     0.03%  redis-server  libc-2.31.so          [.] 0x00007f7273b3773a                         [.] 0x00007f7273a80971                         170               
     0.03%  redis-server  libc-2.31.so          [.] 0x00007f7273b382df                         [.] ctl_refresh                                1360              
     0.03%  redis-server  libc-2.31.so          [.] 0x00007f7273b382df                         [.] ctl_refresh                                1264              
     0.03%  redis-server  libc-2.31.so          [.] 0x00007f7273b382df                         [.] ctl_refresh                                1258              
     0.03%  redis-server  libc-2.31.so          [.] 0x00007f7273b382df                         [.] ctl_refresh                                1233              
     0.03%  redis-server  libc-2.31.so          [.] 0x00007f7273b382df                         [.] ctl_refresh                                1224              
     0.03%  redis-server  libc-2.31.so          [.] 0x00007f7273b382df                         [.] ctl_refresh                                1220              
     0.03%  redis-server  libc-2.31.so          [.] 0x00007f7273b382df                         [.] ctl_refresh                                1216              
     0.03%  redis-server  libc-2.31.so          [.] 0x00007f7273b382df                         [.] ctl_refresh                                1215              
     0.03%  redis-server  libc-2.31.so          [.] 0x00007f7273b382df                         [.] ctl_refresh                                1211              
     0.03%  redis-server  libc-2.31.so          [.] 0x00007f7273b382df                         [.] ctl_refresh                                1210              
     0.03%  redis-server  libc-2.31.so          [.] 0x00007f7273b382df                         [.] ctl_refresh                                1207              
     0.03%  redis-server  libc-2.31.so          [.] 0x00007f7273b382df                         [.] ctl_refresh                                1206              
     0.03%  redis-server  libc-2.31.so          [.] 0x00007f7273b382df                         [.] ctl_refresh                                1205              
     0.03%  redis-server  libc-2.31.so          [.] 0x00007f7273b382df                         [.] ctl_refresh                                1198              
     0.03%  redis-server  libc-2.31.so          [.] 0x00007f7273b382df                         [.] ctl_refresh                                1186              
     0.03%  redis-server  libc-2.31.so          [.] 0x00007f7273b382df                         [.] ctl_refresh                                1175              
     0.03%  redis-server  libc-2.31.so          [.] 0x00007f7273b382df                         [.] ctl_refresh                                1157              
     0.03%  redis-server  libc-2.31.so          [.] 0x00007f7273b382df                         [.] ctl_refresh                                1156              
     0.03%  redis-server  libc-2.31.so          [.] 0x00007f7273b382df                         [.] ctl_refresh                                1150              
     0.03%  redis-server  libc-2.31.so          [.] 0x00007f7273b382df                         [.] ctl_refresh                                1148              
     0.03%  redis-server  libc-2.31.so          [.] 0x00007f7273b382df                         [.] ctl_refresh                                1121              
     0.03%  redis-server  libc-2.31.so          [.] 0x00007f7273b382df                         [.] ctl_refresh                                1071              
     0.03%  redis-server  libc-2.31.so          [.] 0x00007f7273b382df                         [.] ctl_refresh                                1024              
     0.03%  redis-server  libc-2.31.so          [.] 0x00007f7273b382df                         [.] ctl_refresh                                936               
     0.03%  redis-server  libc-2.31.so          [.] 0x00007f7273b382df                         [.] ctl_refresh                                933               
     0.03%  redis-server  libc-2.31.so          [.] 0x00007f7273b382df                         [.] ctl_refresh                                922               
     0.03%  redis-server  libc-2.31.so          [.] 0x00007f7273b382df                         [.] ctl_refresh                                919               
     0.03%  redis-server  libc-2.31.so          [.] 0x00007f7273b382df                         [.] ctl_refresh                                879               
     0.03%  redis-server  libc-2.31.so          [.] 0x00007f7273b382df                         [.] ctl_refresh                                878               
     0.03%  redis-server  libc-2.31.so          [.] 0x00007f7273b382df                         [.] ctl_refresh                                876               
     0.03%  redis-server  libc-2.31.so          [.] 0x00007f7273b382df                         [.] ctl_refresh                                863               
     0.03%  redis-server  libc-2.31.so          [.] 0x00007f7273b382df                         [.] ctl_refresh                                862               
     0.03%  redis-server  libc-2.31.so          [.] 0x00007f7273b382df                         [.] ctl_refresh                                763               
     0.03%  redis-server  libc-2.31.so          [.] 0x00007f7273b382df                         [.] ctl_refresh                                734               
     0.03%  redis-server  libc-2.31.so          [.] 0x00007f7273b382df                         [.] ctl_refresh                                691               
     0.03%  redis-server  libc-2.31.so          [.] 0x00007f7273b382df                         [.] ctl_refresh                                689               
     0.03%  redis-server  libc-2.31.so          [.] 0x00007f7273b382df                         [.] ctl_refresh                                682               
     0.03%  redis-server  libc-2.31.so          [.] 0x00007f7273b382df                         [.] ctl_refresh                                566               
     0.03%  redis-server  libc-2.31.so          [.] 0x00007f7273b39c34                         [.] get_proc_stat_ll                           76                
     0.03%  redis-server  libc-2.31.so          [.] 0x00007f7273b39c34                         [.] get_proc_stat_ll                           53                
     0.03%  redis-server  libc-2.31.so          [.] 0x00007f7273b39c34                         [.] ctl_lookup                                 213               
     0.03%  redis-server  libc-2.31.so          [.] 0x00007f7273b39c34                         [.] ctl_lookup                                 151               
     0.03%  redis-server  libc-2.31.so          [.] 0x00007f7273b39c34                         [.] ctl_lookup                                 146               
     0.03%  redis-server  libc-2.31.so          [.] 0x00007f7273b39c34                         [.] ctl_lookup                                 138               
     0.03%  redis-server  libc-2.31.so          [.] 0x00007f7273b39c34                         [.] ctl_lookup                                 53                
     0.03%  redis-server  libc-2.31.so          [.] 0x00007f7273b39c34                         [.] ctl_lookup                                 49                
     0.03%  redis-server  libc-2.31.so          [.] 0x00007f7273b39c34                         [.] ctl_lookup                                 48                
     0.03%  redis-server  libc-2.31.so          [.] 0x00007f7273b39c34                         [.] ctl_lookup                                 47                
     0.03%  redis-server  libc-2.31.so          [.] 0x00007f7273b3aaeb                         [.] ctl_lookup                                 150               
     0.03%  redis-server  libc-2.31.so          [.] 0x00007f7273b3aaeb                         [.] ctl_lookup                                 114               
     0.03%  redis-server  libc-2.31.so          [.] 0x00007f7273b3aaeb                         [.] ctl_lookup                                 113               
     0.03%  redis-server  libc-2.31.so          [.] 0x00007f7273b3aaeb                         [.] ctl_lookup                                 105               
     0.03%  redis-server  libc-2.31.so          [.] 0x00007f7273b3aaeb                         [.] ctl_lookup                                 86                
     0.03%  redis-server  libc-2.31.so          [.] 0x00007f7273b3aaeb                         [.] ctl_lookup                                 85                
     0.03%  redis-server  libc-2.31.so          [.] 0x00007f7273b3aaeb                         [.] ctl_lookup                                 63                
     0.03%  redis-server  libc-2.31.so          [.] 0x00007f7273b3aaeb                         [.] ctl_lookup                                 42                
     0.03%  redis-server  libc-2.31.so          [.] 0x00007f7273b3aaeb                         [.] ctl_lookup                                 41                
     0.03%  redis-server  libc-2.31.so          [.] 0x00007f7273b3aaeb                         [.] ctl_lookup                                 39                
     0.03%  redis-server  libc-2.31.so          [.] 0x00007f7273b3aaeb                         [.] ctl_lookup                                 38                
     0.03%  redis-server  libc-2.31.so          [.] 0x00007f7273b3aaeb                         [.] ctl_lookup                                 32                
     0.03%  redis-server  libc-2.31.so          [.] 0x00007f7273b3aaeb                         [.] ctl_lookup                                 30                
     0.03%  redis-server  libc-2.31.so          [.] 0x00007f7273b3aaeb                         [.] ctl_lookup                                 28                
     0.03%  redis-server  libc-2.31.so          [.] 0x00007f7273b3aaeb                         [.] ctl_lookup                                 24                
     0.03%  redis-server  libc-2.31.so          [.] 0x00007f7273b3aaeb                         [.] ctl_lookup                                 19                
     0.03%  redis-server  libc-2.31.so          [.] 0x00007f7273b3aaeb                         [.] ctl_lookup                                 12                
     0.03%  redis-server  libc-2.31.so          [.] 0x00007f7273b3aaeb                         [.] 0x00007f7273a81059                         546               
     0.03%  redis-server  libc-2.31.so          [.] 0x00007f7273b3aaeb                         [.] 0x00007f7273a81059                         333               
     0.03%  redis-server  libc-2.31.so          [.] 0x00007f7273b3cc95                         [.] get_proc_stat_ll                           640               
     0.03%  redis-server  [vdso]                [.] __vdso_clock_gettime                       [.] clock_gettime                              165               
     0.03%  redis-server  [vdso]                [.] __vdso_clock_gettime                       [.] clock_gettime                              140               
     0.03%  redis-server  [vdso]                [.] __vdso_clock_gettime                       [.] clock_gettime                              136               
     0.03%  redis-server  [vdso]                [.] __vdso_clock_gettime                       [.] clock_gettime                              77                
     0.03%  redis-server  [vdso]                [.] __vdso_clock_gettime                       [.] clock_gettime                              76                
     0.03%  redis-server  [vdso]                [.] __vdso_clock_gettime                       [.] clock_gettime                              12                
     0.03%  redis-server  [vdso]                [.] __vdso_clock_gettime                       [.] 0x00007ffc55ba8970                         442               
     0.03%  redis-server  [vdso]                [.] __vdso_clock_gettime                       [.] 0x00007ffc55ba8970                         436               
     0.03%  redis-server  [vdso]                [.] __vdso_clock_gettime                       [.] 0x00007ffc55ba8970                         274               
     0.03%  redis-server  [vdso]                [.] __vdso_clock_gettime                       [.] 0x00007ffc55ba8970                         39                
     0.03%  redis-server  [vdso]                [.] __vdso_gettimeofday                        [.] updateCachedTime                           56                
     0.03%  redis-server  [vdso]                [.] __vdso_gettimeofday                        [.] 0x00007ffc55ba8970                         230               
     0.03%  redis-server  [vdso]                [.] __vdso_gettimeofday                        [.] 0x00007ffc55ba8970                         224               
     0.03%  redis-server  [vdso]                [.] __vdso_gettimeofday                        [.] 0x00007ffc55ba8970                         188               
     0.03%  redis-server  [vdso]                [.] __vdso_gettimeofday                        [.] 0x00007ffc55ba8970                         123               
     0.03%  redis-server  [vdso]                [.] __vdso_gettimeofday                        [.] 0x00007ffc55ba8970                         100               
     0.03%  redis-server  [vdso]                [.] __vdso_gettimeofday                        [.] 0x00007ffc55ba8970                         57                
     0.03%  redis-server  [vdso]                [.] __vdso_gettimeofday                        [.] 0x00007ffc55ba8970                         41                
     0.03%  redis-server  [vdso]                [.] __vdso_gettimeofday                        [.] 0x00007ffc55ba8970                         39                
     0.03%  redis-server  [vdso]                [.] __vdso_gettimeofday                        [.] 0x00007ffc55ba8970                         21                
     0.03%  redis-server  [vdso]                [.] __vdso_gettimeofday                        [.] 0x00007ffc55ba8970                         15                
     0.03%  redis-server  [vdso]                [k] __vdso_gettimeofday                        [k] 0x00007ffc55ba8970                         11                
     0.03%  redis-server  [vdso]                [.] 0x00007ffc55ba898d                         [.] __vdso_clock_gettime                       134               
     0.03%  redis-server  [vdso]                [.] 0x00007ffc55ba898d                         [.] __vdso_clock_gettime                       128               
     0.03%  redis-server  [vdso]                [.] 0x00007ffc55ba898d                         [.] __vdso_clock_gettime                       88                
     0.03%  redis-server  [vdso]                [.] 0x00007ffc55ba898d                         [.] __vdso_clock_gettime                       46                
     0.03%  redis-server  [vdso]                [.] 0x00007ffc55ba898d                         [.] __vdso_clock_gettime                       38                
     0.03%  redis-server  [kernel.kallsyms]     [k] syscall_trace_enter                        [k] do_syscall_64                              46                
     0.03%  redis-server  [kernel.kallsyms]     [k] syscall_trace_enter                        [k] do_syscall_64                              18                
     0.03%  redis-server  [kernel.kallsyms]     [k] syscall_trace_enter                        [k] do_syscall_64                              13                
     0.03%  redis-server  [kernel.kallsyms]     [k] syscall_trace_enter                        [k] __secure_computing                         193               
     0.03%  redis-server  [kernel.kallsyms]     [.] syscall_trace_enter                        [.] __secure_computing                         147               
     0.03%  redis-server  [kernel.kallsyms]     [k] syscall_trace_enter                        [k] __secure_computing                         83                
     0.03%  redis-server  [kernel.kallsyms]     [k] syscall_trace_enter                        [k] __secure_computing                         80                
     0.03%  redis-server  [kernel.kallsyms]     [k] syscall_trace_enter                        [k] __secure_computing                         43                
     0.03%  redis-server  [kernel.kallsyms]     [k] syscall_trace_enter                        [k] __secure_computing                         19                
     0.03%  redis-server  [kernel.kallsyms]     [.] exit_to_usermode_loop                      [.] do_syscall_64                              27                
     0.03%  redis-server  [kernel.kallsyms]     [.] exit_to_usermode_loop                      [.] do_syscall_64                              5                 
     0.03%  redis-server  [kernel.kallsyms]     [k] exit_to_usermode_loop                      [k] task_work_run                              188               
     0.03%  redis-server  [kernel.kallsyms]     [k] exit_to_usermode_loop                      [k] task_work_run                              150               
     0.03%  redis-server  [kernel.kallsyms]     [k] do_syscall_64                              [k] syscall_trace_enter                        129               
     0.03%  redis-server  [kernel.kallsyms]     [.] do_syscall_64                              [.] syscall_trace_enter                        102               
     0.03%  redis-server  [kernel.kallsyms]     [k] do_syscall_64                              [k] syscall_trace_enter                        100               
     0.03%  redis-server  [kernel.kallsyms]     [k] do_syscall_64                              [k] syscall_trace_enter                        68                
     0.03%  redis-server  [kernel.kallsyms]     [k] do_syscall_64                              [k] syscall_trace_enter                        36                
     0.03%  redis-server  [kernel.kallsyms]     [k] do_syscall_64                              [k] syscall_trace_enter                        19                
     0.03%  redis-server  [kernel.kallsyms]     [k] do_syscall_64                              [k] exit_to_usermode_loop                      46                
     0.03%  redis-server  [kernel.kallsyms]     [.] do_syscall_64                              [.] entry_SYSCALL_64_after_hwframe             833               
     0.03%  redis-server  [kernel.kallsyms]     [.] do_syscall_64                              [.] entry_SYSCALL_64_after_hwframe             832               
     0.03%  redis-server  [kernel.kallsyms]     [.] do_syscall_64                              [.] entry_SYSCALL_64_after_hwframe             719               
     0.03%  redis-server  [kernel.kallsyms]     [k] do_syscall_64                              [k] entry_SYSCALL_64_after_hwframe             716               
     0.03%  redis-server  [kernel.kallsyms]     [.] do_syscall_64                              [.] entry_SYSCALL_64_after_hwframe             713               
     0.03%  redis-server  [kernel.kallsyms]     [.] do_syscall_64                              [.] entry_SYSCALL_64_after_hwframe             669               
     0.03%  redis-server  [kernel.kallsyms]     [.] do_syscall_64                              [.] entry_SYSCALL_64_after_hwframe             554               
     0.03%  redis-server  [kernel.kallsyms]     [.] do_syscall_64                              [.] entry_SYSCALL_64_after_hwframe             552               
     0.03%  redis-server  [kernel.kallsyms]     [k] do_syscall_64                              [k] entry_SYSCALL_64_after_hwframe             548               
     0.03%  redis-server  [kernel.kallsyms]     [k] do_syscall_64                              [k] entry_SYSCALL_64_after_hwframe             546               
     0.03%  redis-server  [kernel.kallsyms]     [k] do_syscall_64                              [k] __indirect_thunk_start                     91                
     0.03%  redis-server  [kernel.kallsyms]     [k] do_syscall_64                              [k] __indirect_thunk_start                     80                
     0.03%  redis-server  [kernel.kallsyms]     [k] do_syscall_64                              [k] __indirect_thunk_start                     71                
     0.03%  redis-server  [kernel.kallsyms]     [k] do_syscall_64                              [k] __indirect_thunk_start                     43                
     0.03%  redis-server  [kernel.kallsyms]     [k] do_syscall_64                              [k] __indirect_thunk_start                     21                
     0.03%  redis-server  [kernel.kallsyms]     [k] do_syscall_64                              [k] __indirect_thunk_start                     20                
     0.03%  redis-server  [kernel.kallsyms]     [.] do_syscall_64                              [.] __indirect_thunk_start                     18                
     0.03%  redis-server  [kernel.kallsyms]     [k] x86_pmu_disable                            [k] __indirect_thunk_start                     125               
     0.03%  redis-server  [kernel.kallsyms]     [k] perf_event_nmi_handler                     [k] nmi_handle                                 1                 
     0.03%  redis-server  [kernel.kallsyms]     [k] perf_event_nmi_handler                     [k] sched_clock                                1                 
     0.03%  redis-server  [kernel.kallsyms]     [k] perf_event_nmi_handler                     [k] perf_sample_event_took                     1                 
     0.03%  redis-server  [kernel.kallsyms]     [k] x86_pmu_enable                             [k] perf_pmu_sched_task                        11                
     0.03%  redis-server  [kernel.kallsyms]     [k] x86_pmu_enable                             [k] __perf_event_task_sched_in                 18                
     0.03%  redis-server  [kernel.kallsyms]     [k] __intel_pmu_disable_all                    [k] intel_pmu_disable_all                      8                 
     0.03%  redis-server  [kernel.kallsyms]     [k] __intel_pmu_disable_all                    [k] intel_pmu_pebs_disable_all                 3                 
